candidate,model_sha256,session,phase,snapshot,total_pss_kb
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,2,baseline,5,81421
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,2,active,1,95018
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,2,active,2,94880
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,2,active,3,93918
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,2,active,4,93808
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,2,active,5,93784
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,2,active,6,93788
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,2,active,7,93761
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,2,active,8,93741
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,2,active,9,93746
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,2,active,10,93742
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,2,active,11,93741
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,2,active,12,93705
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,2,active,13,90037
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,2,active,14,90037
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,2,active,15,90038
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,2,baseline,1,217687
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,2,baseline,2,81468
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,2,baseline,3,81415
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,2,baseline,4,81416
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,2,baseline,5,81406
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,2,active,1,97353
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,2,active,2,97213
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,2,active,3,97215
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,2,active,4,97215
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,2,active,5,97217
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,2,active,6,97217
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,2,active,7,97219
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,2,active,8,97217
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,2,active,9,97213
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,2,active,10,97222
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,2,active,11,97197
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,2,active,12,95325
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,2,active,13,95325
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,2,active,14,95325
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,2,active,15,95327
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,2,baseline,1,217709
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,2,baseline,2,81442
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,2,baseline,3,81422
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,2,baseline,4,81477
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,2,baseline,5,81442
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,2,active,1,90455
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,2,active,2,90297
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,2,active,3,90291
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,2,active,4,90289
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,2,active,5,90279
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,2,active,6,90277
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,2,active,7,90278
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,2,active,8,90279
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,2,active,9,90280
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,2,active,10,90185
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,2,active,11,89109
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,2,active,12,89105
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,2,active,13,89103
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,2,active,14,89106
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,2,active,15,89105
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,2,baseline,1,53262
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,2,baseline,2,45738
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,2,baseline,3,45742
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,2,baseline,4,45741
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,2,baseline,5,45846
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,2,active,1,53392
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,2,active,2,53252
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,2,active,3,53229
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,2,active,4,53236
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,2,active,5,53209
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,2,active,6,53208
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,2,active,7,53210
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,2,active,8,53265
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,2,active,9,53226
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,2,active,10,53248
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,2,active,11,53214
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,2,active,12,53066
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,2,active,13,51865
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,2,active,14,51866
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,2,active,15,51864
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,3,baseline,1,217687
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,3,baseline,2,80786
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,3,baseline,3,80730
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,3,baseline,4,80730
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,3,baseline,5,80731
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,3,active,1,94307
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,3,active,2,94150
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,3,active,3,94134
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,3,active,4,94134
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,3,active,5,94098
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,3,active,6,94098
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,3,active,7,94099
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,3,active,8,94102
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,3,active,9,93819
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,3,active,10,93695
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,3,active,11,93662
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,3,active,12,89995
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,3,active,13,89996
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,3,active,14,89994
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,3,active,15,89994
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,3,baseline,1,216694
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,3,baseline,2,80416
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,3,baseline,3,80401
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,3,baseline,4,80401
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,3,baseline,5,80475
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,3,active,1,96386
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,3,active,2,96226
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,3,active,3,96214
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,3,active,4,96214
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,3,active,5,96202
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,3,active,6,96203
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,3,active,7,96202
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,3,active,8,96203
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,3,active,9,96202
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,3,active,10,96202
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,3,active,11,96203
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,3,active,12,94313
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,3,active,13,94313
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,3,active,14,94313
fp16,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,3,active,15,94313
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,3,baseline,1,216976
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,3,baseline,2,80760
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,3,baseline,3,80740
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,3,baseline,4,80850
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,3,baseline,5,80872
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,3,active,1,89892
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,3,active,2,89281
